id;numero_tramite;apellidos;nombres;sexo;numero_dni;ejemplar;nacimiento;fecha_emision;inicio_fin_cuil;created_date;updated_date
1;16574;driver;Asistente connect hacking;invoice evolve;79568;granular Blanco Optimizado;2023-03-02;2023-03-02;57653;2023-03-02T13:52:05;2023-03-02T13:35:07
2;58335;compress Loan SCSI;SCSI solid Amarillo;Gris Plástico;40288;exploit Metal Bedfordshire;2023-03-03;2023-03-02;62111;2023-03-02T10:45:20;2023-03-02T13:55:07
3;15719;servidor;Hormigon Avon;fritas Productor Usabilidad;63916;habilidad Azul;2023-03-02;2023-03-02;64912;2023-03-02T17:10:01;2023-03-02T14:33:33
4;45954;Toallas;Futuro Auto primary;Loan Granito;34693;Verde Genérico;2023-03-02;2023-03-02;67105;2023-03-02T07:31:33;2023-03-02T09:24:38
5;43845;Acero Indonesia Algodón;compressing e-services Directo;pixel Guapo;48777;Inteligente hacking RAM;2023-03-02;2023-03-02;2901;2023-03-02T06:35:09;2023-03-02T02:01:31
6;19976;Inteligente Zapatos;Asistente Account Factores;Rua;63079;redundant Decoración navigate;2023-03-03;2023-03-02;47253;2023-03-02T07:21:30;2023-03-02T18:46:06
7;39737;Account back;Borders Plástico;microchip monitorizar;22046;protocol cliente Galicia;2023-03-02;2023-03-02;67902;2023-03-02T16:52:14;2023-03-02T18:55:36
8;26341;Supervisor;Teclado distributed Coche;acceso;73920;Violeta Plástico desafío;2023-03-02;2023-03-03;70260;2023-03-02T14:29:36;2023-03-02T10:25:39
9;80380;Berkshire;payment platforms;Navarra XML Rojo;36370;modular;2023-03-02;2023-03-02;22752;2023-03-02T08:16:39;2023-03-02T16:18:15
10;27370;methodologies;Ladrillo;transform;18866;Programa parse;2023-03-02;2023-03-02;13897;2023-03-02T13:22:18;2023-03-02T15:38:48
